pris;dnkval;distrikt;alder;bestlist;Bordeaux;LanguedocRoussilion;Andre;Burgund
153;88;5;0;1;0;0;1;0
169;85;5;0;1;0;0;1;0
169;85;5;0;1;0;0;1;0
109;81;5;0;0;0;0;1;0
159,5;78;5;2;1;0;0;1;0
125,9;76;5;1;1;0;0;1;0
137,3;75;5;1;1;0;0;1;0
89,5;74;5;1;1;0;0;1;0
975,1;94;1;2;1;0;0;0;1
252,9;92;1;2;1;0;0;0;1
475,8;92;1;2;1;0;0;0;1
589,8;91;1;4;1;0;0;0;1
932,9;91;1;3;1;0;0;0;1
475;91;1;2;1;0;0;0;1
325;91;1;3;1;0;0;0;1
439,9;90;1;4;0;0;0;0;1
478;90;1;4;1;0;0;0;1
412,4;90;1;2;1;0;0;0;1
426,6;90;1;2;1;0;0;0;1
205,1;90;1;2;0;0;0;0;1
199,9;89;1;2;0;0;0;0;1
250,9;89;1;2;0;0;0;0;1
374,3;89;1;2;1;0;0;0;1
193,9;87;1;2;1;0;0;0;1
721,6;87;1;2;1;0;0;0;1
299;87;1;2;1;0;0;0;1
215;87;1;2;1;0;0;0;1
245;86;1;3;1;0;0;0;1
287,2;86;1;2;1;0;0;0;1
193,3;86;1;2;1;0;0;0;1
226;86;1;2;1;0;0;0;1
144;85;1;1;0;0;0;0;1
210;85;1;2;1;0;0;0;1
168;85;1;1;1;0;0;0;1
279;84;1;3;1;0;0;0;1
239,9;83;1;3;1;0;0;0;1
169;83;1;1;1;0;0;0;1
129,3;83;1;0;1;0;0;0;1
317;81;1;2;1;0;0;0;1
149,9;80;1;4;1;0;0;0;1
271,5;75;1;4;1;0;0;0;1
120;73;1;1;1;0;0;0;1
2520,2;95;2;4;1;1;0;0;0
720;94;2;6;1;1;0;0;0
345,4;94;2;5;0;1;0;0;0
2499,9;93;2;8;1;1;0;0;0
345,4;94;2;3;0;1;0;0;0
449,9;93;2;6;1;1;0;0;0
890;93;2;3;1;1;0;0;0
699,9;92;2;8;1;1;0;0;0
550;92;2;6;1;1;0;0;0
340;91;2;5;1;1;0;0;0
469,9;91;2;3;1;1;0;0;0
1825,2;91;2;8;1;1;0;0;0
569;91;2;4;1;1;0;0;0
1580;90;2;6;1;1;0;0;0
599,9;90;2;8;1;1;0;0;0
1375;90;2;5;1;1;0;0;0
430;89;2;7;1;1;0;0;0
325;89;2;6;1;1;0;0;0
440;88;2;7;1;1;0;0;0
455;88;2;7;1;1;0;0;0
173,5;88;2;4;0;1;0;0;0
403,1;88;2;3;0;1;0;0;0
1489,4;88;2;5;1;1;0;0;0
1547,4;88;2;2;1;1;0;0;0
1235;88;2;8;1;1;0;0;0
289;87;2;6;0;1;0;0;0
308;87;2;5;1;1;0;0;0
317,4;87;2;5;0;1;0;0;0
300;87;2;6;1;1;0;0;0
1525,8;87;2;8;1;1;0;0;0
450;87;2;4;1;1;0;0;0
375;87;2;6;1;1;0;0;0
159,9;87;2;4;1;1;0;0;0
279,9;87;2;4;1;1;0;0;0
349;86;2;7;1;1;0;0;0
469;86;2;7;1;1;0;0;0
1324,5;86;2;7;1;1;0;0;0
190;85;2;7;1;1;0;0;0
178,1;85;2;5;1;1;0;0;0
130;85;2;3;1;1;0;0;0
195;84;2;5;0;1;0;0;0
189;84;2;6;1;1;0;0;0
375;84;2;5;1;1;0;0;0
190;83;2;5;0;1;0;0;0
325;83;2;5;1;1;0;0;0
338,9;83;2;4;0;1;0;0;0
153;83;2;3;0;1;0;0;0
147,9;83;2;8;1;1;0;0;0
206,3;82;2;4;1;1;0;0;0
499,9;80;2;7;1;1;0;0;0
136,6;80;2;3;0;1;0;0;0
579,9;80;2;6;1;1;0;0;0
149;80;2;5;1;1;0;0;0
195;80;2;8;0;1;0;0;0
208;80;2;4;1;1;0;0;0
128;80;2;4;1;1;0;0;0
179,9;79;2;1;1;1;0;0;0
277;78;2;7;1;1;0;0;0
236;78;2;8;1;1;0;0;0
196,1;76;2;5;0;1;0;0;0
99,9;75;2;4;1;1;0;0;0
109,9;75;2;1;1;1;0;0;0
172;75;2;3;1;1;0;0;0
274;75;2;7;1;1;0;0;0
178;74;2;4;0;1;0;0;0
195;72;2;6;1;1;0;0;0
149,9;71;2;4;1;1;0;0;0
198;89;3;3;1;0;1;0;0
189,3;86;3;5;1;0;1;0;0
99,9;85;3;1;1;0;1;0;0
399,9;85;3;3;1;0;1;0;0
159,9;84;3;3;1;0;1;0;0
185;82;3;4;1;0;1;0;0
83,5;82;3;0;0;0;1;0;0
239;82;3;2;1;0;1;0;0
109,9;81;3;1;1;0;1;0;0
123;80;3;3;0;0;1;0;0
119,9;80;3;3;1;0;1;0;0
89,9;79;3;1;0;0;1;0;0
84,9;79;3;1;0;0;1;0;0
162,8;77;3;1;1;0;1;0;0
89,9;76;3;0;1;0;1;0;0
69,6;75;3;1;0;0;1;0;0
76;75;3;2;0;0;1;0;0
89,9;72;3;0;0;0;1;0;0
99,9;72;3;3;0;0;1;0;0
99,9;72;3;2;0;0;1;0;0
89,9;70;3;1;0;0;1;0;0
77,9;70;3;2;0;0;1;0;0
114,3;80;5;3;1;0;0;1;0
640;94;4;5;1;0;0;0;0
456;94;4;4;1;0;0;0;0
457;94;4;3;1;0;0;0;0
429,9;93;4;4;1;0;0;0;0
299,9;93;4;1;1;0;0;0;0
299,5;93;4;4;1;0;0;0;0
349,9;93;4;3;1;0;0;0;0
529,9;92;4;4;1;0;0;0;0
270,4;91;4;4;1;0;0;0;0
269,9;91;4;3;1;0;0;0;0
169,9;90;4;1;1;0;0;0;0
269,9;90;4;4;1;0;0;0;0
309,9;90;4;4;0;0;0;0;0
245;90;4;5;1;0;0;0;0
635;90;4;4;1;0;0;0;0
259,9;90;4;3;1;0;0;0;0
599,9;90;4;3;1;0;0;0;0
352,5;90;4;3;1;0;0;0;0
159,9;90;4;2;1;0;0;0;0
326,7;89;4;4;0;0;0;0;0
399,9;89;4;3;1;0;0;0;0
269,9;89;4;3;1;0;0;0;0
168,9;89;4;0;1;0;0;0;0
119,9;89;4;1;0;0;0;0;0
385;89;4;4;0;0;0;0;0
139,9;88;4;1;0;0;0;0;0
340,3;88;4;2;1;0;0;0;0
215;88;4;3;1;0;0;0;0
159,9;88;4;1;1;0;0;0;0
225;88;4;4;1;0;0;0;0
255;87;4;5;0;0;0;0;0
249,9;87;4;3;1;0;0;0;0
129,9;87;4;1;1;0;0;0;0
169,9;87;4;4;1;0;0;0;0
189,9;87;4;1;1;0;0;0;0
246,6;87;4;4;1;0;0;0;0
187;87;4;3;1;0;0;0;0
172,9;86;4;1;1;0;0;0;0
136,9;86;4;1;0;0;0;0;0
195,9;86;4;3;1;0;0;0;0
385;86;4;3;0;0;0;0;0
169,9;85;4;5;1;0;0;0;0
199;85;4;4;1;0;0;0;0
179,9;85;4;3;1;0;0;0;0
199,9;85;4;1;1;0;0;0;0
397,6;85;4;6;1;0;0;0;0
183;84;4;4;0;0;0;0;0
134;84;4;1;1;0;0;0;0
176;84;4;3;0;0;0;0;0
219,7;84;4;3;1;0;0;0;0
149,9;83;4;1;1;0;0;0;0
99,9;83;4;1;0;0;0;0;0
126;83;4;1;1;0;0;0;0
104,9;83;4;0;1;0;0;0;0
199,9;82;4;2;1;0;0;0;0
126;82;4;1;1;0;0;0;0
124,5;81;4;3;0;0;0;0;0
129,9;81;4;1;1;0;0;0;0
239,9;80;4;4;1;0;0;0;0
229,8;80;4;6;1;0;0;0;0
123;80;4;3;1;0;0;0;0
306;79;4;4;1;0;0;0;0
115;79;4;5;1;0;0;0;0
125;79;4;2;1;0;0;0;0
228;78;4;5;0;0;0;0;0
196,2;77;4;3;1;0;0;0;0
136;77;4;1;1;0;0;0;0
139;76;4;4;1;0;0;0;0
196;76;4;3;1;0;0;0;0
199,5;73;4;5;0;0;0;0;0
135,4;73;4;0;1;0;0;0;0
139,5;72;4;0;1;0;0;0;0
171;90;5;6;0;0;0;1;0
170,8;89;5;6;1;0;0;1;0
159,9;87;5;3;1;0;0;1;0
171;86;5;3;1;0;0;1;0
233;85;5;3;1;0;0;1;0
101,9;83;5;1;1;0;0;1;0
104,9;80;5;2;1;0;0;1;0
98,9;79;5;1;1;0;0;1;0
171;78;5;1;0;0;0;1;0
106,9;77;5;2;1;0;0;1;0
99,9;77;5;1;1;0;0;1;0
70,9;76;5;3;1;0;0;1;0
122,1;73;5;4;1;0;0;1;0
102;72;5;0;1;0;0;1;0
